HorseName,HorseNum,Barrier,JockeyName,JockeyWeight,RaceTrack,RaceNum,Distance,TrackCond,ClassInfo,Prize,Weather,RaceTime,BestOdds,OddsSource
Coto De Caza,1,5,Keagan Latham,61.5kg,Newcastle,R1,2200m,Soft 5,BM 64 Hcp,$42k,9°C light rain,12:15:00,2.48,Betfair
Malbork Castle,2,1,Tom Sherry,60.5kg,Newcastle,R1,2200m,Soft 5,BM 64 Hcp,$42k,9°C light rain,12:15:00,3.9,Ubet
Whetu,3,2,Benjamin Osmond,60.5kg,Newcastle,R1,2200m,Soft 5,BM 64 Hcp,$42k,9°C light rain,12:15:00,9,Ubet
Fighting Magnus,4,4,Shae Wilkes,57.5kg,Newcastle,R1,2200m,Soft 5,BM 64 Hcp,$42k,9°C light rain,12:15:00,6.6,BoomBet
Whisker To Whisker,5,8,Brock Ryan,55.5kg,Newcastle,R1,2200m,Soft 5,BM 64 Hcp,$42k,9°C light rain,12:15:00,9,Sportsbet
Devine Outcast,6,7,Ashley Morgan,55.0kg,Newcastle,R1,2200m,Soft 5,BM 64 Hcp,$42k,9°C light rain,12:15:00,10,Ladbrokes
Sound And Vision,7,9,Madeline Owen,55.0kg,Newcastle,R1,2200m,Soft 5,BM 64 Hcp,$42k,9°C light rain,12:15:00,41,Bet365
Threw,8,3,Molly Bourke,55.0kg,Newcastle,R1,2200m,Soft 5,BM 64 Hcp,$42k,9°C light rain,12:15:00,35,Ladbrokes
Savant De Lune,9,6,Jess Taylor,55.0kg,Newcastle,R1,2200m,Soft 5,BM 64 Hcp,$42k,9°C light rain,12:15:00,126,Bet365
Great Flame,1,7,Jordan Quince,59.0kg,Warren,R1,1400m,Soft 5,Mdn Set Weight,$27k,8°C light rain,12:35:00,21,Sportsbet
Major Lightning,2,8,Siena Grima,59.0kg,Warren,R1,1400m,Soft 5,Mdn Set Weight,$27k,8°C light rain,12:35:00,1.7,Ubet
Phils Colours,3,2,Ken Dunbar,59.0kg,Warren,R1,1400m,Soft 5,Mdn Set Weight,$27k,8°C light rain,12:35:00,9.5,Sportsbet
Prizes Galore,4,9,Kody Nestor,59.0kg,Warren,R1,1400m,Soft 5,Mdn Set Weight,$27k,8°C light rain,12:35:00,17,Sportsbet
Cammi,5,5,Mikayla Weir,57.0kg,Warren,R1,1400m,Soft 5,Mdn Set Weight,$27k,8°C light rain,12:35:00,8,Sportsbet
I Don't Think So,6,6,Caine Stuart,57.0kg,Warren,R1,1400m,Soft 5,Mdn Set Weight,$27k,8°C light rain,12:35:00,9.5,ColossalBet
Impending Harmony,7,3,Wendy Peel,57.0kg,Warren,R1,1400m,Soft 5,Mdn Set Weight,$27k,8°C light rain,12:35:00,9.5,Sportsbet
Shoebill,8,4,Mathew Cahill,57.0kg,Warren,R1,1400m,Soft 5,Mdn Set Weight,$27k,8°C light rain,12:35:00,9.5,Ubet
California Comets,1,4,Reece Jones,59.0kg,Newcastle,R2,1200m,Soft 5,CH&G Mdn Set Weight,$42k,9°C light rain,12:50:00,26.5,BoomBet
Demmo Dermy,2,5,Brock Ryan,59.0kg,Newcastle,R2,1200m,Soft 5,CH&G Mdn Set Weight,$42k,9°C light rain,12:50:00,9.5,Ubet
Harry's Evidence,4,10,Jay Ford,59.0kg,Newcastle,R2,1200m,Soft 5,CH&G Mdn Set Weight,$42k,9°C light rain,12:50:00,4.3,Betfair
Vin Santo,5,3,Keagan Latham,59.0kg,Newcastle,R2,1200m,Soft 5,CH&G Mdn Set Weight,$42k,9°C light rain,12:50:00,6.5,Ubet
Cellarmaster,6,8,Andrew Adkins,56.5kg,Newcastle,R2,1200m,Soft 5,CH&G Mdn Set Weight,$42k,9°C light rain,12:50:00,5.3,Betfair
Hillier,9,2,Tom Sherry,56.5kg,Newcastle,R2,1200m,Soft 5,CH&G Mdn Set Weight,$42k,9°C light rain,12:50:00,2.44,Betfair
Sunburnt Country,10,7,Ashley Morgan,56.5kg,Newcastle,R2,1200m,Soft 5,CH&G Mdn Set Weight,$42k,9°C light rain,12:50:00,16,TABtouch
Maven,1,8,Ryan Wiggins,60.0kg,Cairns,R1,1250m,Soft 5,Mdn Hcp,$23k,19°C scattered clouds,12:57:00,4.3,Betfair
Savvy Monk,2,9,Ivo Fry,60.0kg,Cairns,R1,1250m,Soft 5,Mdn Hcp,$23k,19°C scattered clouds,12:57:00,31,Sportsbet
Innovates,3,6,Jackson Murphy,59.5kg,Cairns,R1,1250m,Soft 5,Mdn Hcp,$23k,19°C scattered clouds,12:57:00,3.35,Betfair
Geraldine's Wish,4,4,Krysten Swaffer,59.0kg,Cairns,R1,1250m,Soft 5,Mdn Hcp,$23k,19°C scattered clouds,12:57:00,1.94,Betfair
Malfitana,6,10,Nathan Thomas,56.0kg,Cairns,R1,1250m,Soft 5,Mdn Hcp,$23k,19°C scattered clouds,12:57:00,221,BoomBet
Kellisa,7,2,Adam Sewell,54.5kg,Cairns,R1,1250m,Soft 5,Mdn Hcp,$23k,19°C scattered clouds,12:57:00,12,Sportsbet
Arturetta,9,1,Wanderson D'Avila,54.0kg,Cairns,R1,1250m,Soft 5,Mdn Hcp,$23k,19°C scattered clouds,12:57:00,46,Sportsbet
Echelon Magic,10,3,Denicious Smith,54.0kg,Cairns,R1,1250m,Soft 5,Mdn Hcp,$23k,19°C scattered clouds,12:57:00,26.5,BoomBet
Bring Me Power,1,9,Lachlan King,58.0kg,Ballarat Synthetic,R1,1100m,Synthetic ,3YO Mdn Set Weight,$27k,4°C overcast clouds,13:00:00,26,Ubet
Deccan Odyssey,2,2,Anthony Darmanin,58.0kg,Ballarat Synthetic,R1,1100m,Synthetic ,3YO Mdn Set Weight,$27k,4°C overcast clouds,13:00:00,2.78,Betfair
Brutalism,4,5,Zac Spain,56.0kg,Ballarat Synthetic,R1,1100m,Synthetic ,3YO Mdn Set Weight,$27k,4°C overcast clouds,13:00:00,26,ColossalBet
Cider With Rosie,5,6,Daniel Moor,56.0kg,Ballarat Synthetic,R1,1100m,Synthetic ,3YO Mdn Set Weight,$27k,4°C overcast clouds,13:00:00,11.2,BoomBet
Hand Crafted,6,1,Cian Macredmond,56.0kg,Ballarat Synthetic,R1,1100m,Synthetic ,3YO Mdn Set Weight,$27k,4°C overcast clouds,13:00:00,69,BoomBet
Inala Te,7,7,Will Price,56.0kg,Ballarat Synthetic,R1,1100m,Synthetic ,3YO Mdn Set Weight,$27k,4°C overcast clouds,13:00:00,32,BoomBet
Sedna,8,10,Jett Stanley,56.0kg,Ballarat Synthetic,R1,1100m,Synthetic ,3YO Mdn Set Weight,$27k,4°C overcast clouds,13:00:00,11.2,BoomBet
Simply Sassy,9,4,Alana Kelly,56.0kg,Ballarat Synthetic,R1,1100m,Synthetic ,3YO Mdn Set Weight,$27k,4°C overcast clouds,13:00:00,9.2,Betfair
Zoucat,10,3,Linda Meech,56.0kg,Ballarat Synthetic,R1,1100m,Synthetic ,3YO Mdn Set Weight,$27k,4°C overcast clouds,13:00:00,2.26,Betfair
Manwari,1,7,Nick Heywood,59.0kg,Warren,R2,1200m,Soft 5,Mdn Hcp,$30k,8°C light rain,13:10:00,3.8,Sportsbet
Spring Prospect,2,4,Zoe Hunt,58.5kg,Warren,R2,1200m,Soft 5,Mdn Hcp,$30k,8°C light rain,13:10:00,2.15,Ubet
Twin Gift,3,8,Ken Dunbar,58.0kg,Warren,R2,1200m,Soft 5,Mdn Hcp,$30k,8°C light rain,13:10:00,91,ColossalBet
Misrosa,4,5,Mathew Cahill,57.0kg,Warren,R2,1200m,Soft 5,Mdn Hcp,$30k,8°C light rain,13:10:00,14,Sportsbet
Send Me Grey,5,1,Heavelon Van Der Hoven,57.0kg,Warren,R2,1200m,Soft 5,Mdn Hcp,$30k,8°C light rain,13:10:00,51,Sportsbet
