event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
245555176,Scone (AUS) 14th Jul,To Be Placed,14-07-2025 07:05,73526914,3. Rail Trail,0,3.05000000,1.0000,2.1080,1.00,1001.00,1.00,1001.00,142.13,0.00,0.00
245584633,Hamilton (AUS) 14th Jul,To Be Placed,14-07-2025 05:53,69422516,7. Rockabilly Ringo,1,1.48000000,1.0000,1.4754,1.00,1001.00,1.00,1001.00,215.72,0.00,0.00
245586663,Globe Derby (AUS) 14th Jul,To Be Placed,14-07-2025 07:23,55755041,4. Jilliby Chambers,0,4.60000000,1.0000,3.7319,1.00,1001.00,1.00,1001.00,159.95,0.00,0.00
245556136,Mount Isa (AUS) 14th Jul,To Be Placed,14-07-2025 04:20,85813987,2. Regal Judgement,0,1.72355241,1.0000,1.5311,1.00,1001.00,1.00,1001.00,1366.98,0.00,0.00
245584637,Hamilton (AUS) 14th Jul,To Be Placed,14-07-2025 07:08,85815279,11. Treacherous Saint,0,66.17954545,1.0000,20.5616,1.00,1001.00,1.00,1001.00,6.16,0.00,0.00
245586727,Pinjarra (AUS) 14th Jul,To Be Placed,14-07-2025 09:16,38352155,3. Major Freeway,0,9.71828645,1.0000,3.2595,1.00,1001.00,1.00,1001.00,23.04,0.00,0.00
245586717,Pinjarra (AUS) 14th Jul,To Be Placed,14-07-2025 06:20,60736639,2. Tilthesunsets,0,12.50000000,1.0000,8.2704,1.00,1001.00,1.00,1001.00,8.55,0.00,0.00
245586667,Globe Derby (AUS) 14th Jul,To Be Placed,14-07-2025 08:32,28551690,9. Lincs Poor Boy,0,12.00000000,1.0000,6.0533,1.00,1001.00,1.00,1001.00,23.42,0.00,0.00
245586721,Pinjarra (AUS) 14th Jul,To Be Placed,14-07-2025 07:33,45169782,3. Jingling Jewels,0,17.00000000,1.0000,13.2355,1.00,1001.00,1.00,1001.00,104.96,0.00,0.00
245525879,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 05:00,83446078,3. Heez De Man,0,7.00000000,1.0000,5.2930,1.00,1001.00,1.00,1001.00,174.41,0.00,0.00
245586655,Globe Derby (AUS) 14th Jul,To Be Placed,14-07-2025 05:03,85827743,6. Gym Junky,1,1.50380220,1.0000,1.3875,1.00,1001.00,1.00,1001.00,403.70,0.00,0.00
245586669,Globe Derby (AUS) 14th Jul,To Be Placed,14-07-2025 08:58,39428068,6. Grove Dale,0,11.00000000,1.0000,9.7315,1.00,1001.00,1.00,1001.00,34.11,0.00,0.00
245525903,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 06:30,808220,7. Kings Coronation,1,2.66000000,1.0000,1.7171,1.00,1001.00,1.00,1001.00,2105.30,0.00,0.00
245555171,Scone (AUS) 14th Jul,To Be Placed,14-07-2025 06:25,78534807,2. So Country,0,3.95696691,1.0000,2.0631,1.00,1001.00,1.00,1001.00,164.09,0.00,0.00
245555166,Scone (AUS) 14th Jul,To Be Placed,14-07-2025 05:50,85813742,11. De Ma Vie,0,190.00000000,1.0000,14.4655,1.00,1001.00,1.00,1001.00,11.32,0.00,0.00
245584655,Redcliffe (AUS) 14th Jul,To Be Placed,14-07-2025 12:33,79561551,5. Wicked Mack,0,20.11830357,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
245586719,Pinjarra (AUS) 14th Jul,To Be Placed,14-07-2025 06:55,82414098,2. My Salina,0,8.00000000,1.0000,6.5668,1.00,1001.00,1.00,1001.00,57.48,0.00,0.00
245586671,Globe Derby (AUS) 14th Jul,To Be Placed,14-07-2025 09:26,28223702,1. Kabayo King,0,1.64000000,1.0000,1.5491,1.00,1001.00,1.00,1001.00,102.53,0.00,0.00
245584598,Menangle (AUS) 14th Jul,To Be Placed,14-07-2025 07:15,85827731,10. Our Saydie Kay,0,7.20000000,1.0000,6.6408,1.00,1001.00,1.00,1001.00,186.60,0.00,0.00
245586715,Pinjarra (AUS) 14th Jul,To Be Placed,14-07-2025 05:45,58102494,9. Karaoke Star,0,3.10000000,1.0000,2.6042,1.00,1001.00,1.00,1001.00,332.56,0.00,0.00
245525871,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 04:30,5445140,9. Secret Fortune,0,1.53278039,1.0000,1.4016,1.00,1001.00,1.00,1001.00,2253.31,0.00,0.00
245584639,Hamilton (AUS) 14th Jul,To Be Placed,14-07-2025 07:47,83985256,4. Sweet Treats,0,19.50000000,1.0000,1.6940,1.00,1001.00,1.00,1001.00,2.68,0.00,0.00
245584637,Hamilton (AUS) 14th Jul,To Be Placed,14-07-2025 07:08,85815278,5. Harbour Springs,0,3.05000000,1.0000,1.6013,1.00,1001.00,1.00,1001.00,102.76,0.00,0.00
245586723,Pinjarra (AUS) 14th Jul,To Be Placed,14-07-2025 08:11,35934773,9. Im Eugene,0,15.00000000,1.0000,5.2543,1.00,1001.00,1.00,1001.00,22.61,0.00,0.00
245584639,Hamilton (AUS) 14th Jul,To Be Placed,14-07-2025 07:47,61558066,10. Case Forty Eight,0,28.00000000,1.0000,16.8932,1.00,1001.00,1.00,1001.00,47.60,0.00,0.00
245525879,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 05:00,74079212,4. Positivo,1,5.20000000,1.0000,4.2680,1.00,1001.00,1.00,1001.00,427.17,0.00,0.00
245555151,Scone (AUS) 14th Jul,To Be Placed,14-07-2025 03:55,65557378,6. Hard Rattle,0,4.00000000,1.0000,2.9960,1.00,1001.00,1.00,1001.00,997.68,0.00,0.00
245586717,Pinjarra (AUS) 14th Jul,To Be Placed,14-07-2025 06:20,55176435,5. Quiggley,1,1.32000000,1.0000,1.2710,1.00,1001.00,1.00,1001.00,478.51,0.00,0.00
245525927,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 08:00,72948689,11. Flying Straz,0,9.99429730,1.0000,6.3675,1.00,1001.00,1.00,1001.00,630.17,0.00,0.00
245555176,Scone (AUS) 14th Jul,To Be Placed,14-07-2025 07:05,85813745,16. St Roy,0,90.00000000,1.0000,10.6704,1.00,1001.00,1.00,1001.00,53.44,0.00,0.00
245584601,Menangle (AUS) 14th Jul,To Be Placed,14-07-2025 07:55,38828831,7. Twilight Heaven,1,2.40000000,1.0000,2.0192,1.00,1001.00,1.00,1001.00,280.05,0.00,0.00
245584586,Menangle (AUS) 14th Jul,To Be Placed,14-07-2025 04:50,68837892,9. Malibuu,1,1.62000000,1.0000,1.3707,1.00,1001.00,1.00,1001.00,111.16,0.00,0.00
245525911,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 07:00,50141208,3. Saveadateforme,1,1.52000000,1.0000,1.3524,1.00,1001.00,1.00,1001.00,2837.36,0.00,0.00
245525887,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 05:30,85854848,5. Dont Tell Harry,0,8.40000000,1.0000,6.2278,1.00,1001.00,1.00,1001.00,179.80,0.00,0.00
245584589,Menangle (AUS) 14th Jul,To Be Placed,14-07-2025 05:25,3551863,3. Tommys Luck,0,2.08119578,1.0000,1.9828,1.00,1001.00,1.00,1001.00,4653.12,0.00,0.00
245584647,Redcliffe (AUS) 14th Jul,To Be Placed,14-07-2025 10:41,41602517,8. Miss Hattie,1,1.62485956,1.0000,1.2531,1.00,1001.00,1.00,1001.00,542.48,0.00,0.00
245525863,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 04:00,85854824,6. Zousouth,0,2.92000000,1.0000,2.5037,1.00,1001.00,1.00,1001.00,2438.54,0.00,0.00
