event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
245586722,Pinjarra (AUS) 14th Jul,R6 2185m Pace M,14-07-2025 08:11,35934773,9. Im Eugene,0,131.04282316,99.3696,39.3183,120.00,80.00,46.00,46.00,102.34,33.34,35.57
245555165,Scone (AUS) 14th Jul,R5 1600m CL1,14-07-2025 05:50,60815800,1. Annoint,0,6.00389833,4.7533,4.3530,6.60,4.40,3.00,3.00,6855.54,5597.36,1258.18
245584597,Menangle (AUS) 14th Jul,R6 1609m Pace M,14-07-2025 07:15,85827731,10. Our Saydie Kay,0,69.53325637,51.9519,43.6865,85.00,60.00,1.00,1001.00,102.73,82.55,20.18
245556160,Mount Isa (AUS) 14th Jul,R7 1000m CL3,14-07-2025 07:20,67077039,9. Curry Legend,0,6.70306148,4.3485,3.8203,6.80,5.90,1.00,1001.00,6045.75,4740.89,1304.86
245556130,Mount Isa (AUS) 14th Jul,R1 1200m Mdn,14-07-2025 03:40,76706057,5. Up To Us,0,8.19203782,6.9325,5.7758,7.00,6.40,1.00,1001.00,2087.25,1449.30,207.54
245586718,Pinjarra (AUS) 14th Jul,R4 2185m Pace M,14-07-2025 06:55,84240190,9. Elvira Jane,0,44.46858512,47.6897,26.4497,50.00,44.00,1.00,1001.00,276.65,128.47,62.98
245555165,Scone (AUS) 14th Jul,R5 1600m CL1,14-07-2025 05:50,75018943,5. Vence,0,17.00000000,17.2729,14.8933,28.00,16.50,1.00,1001.00,2186.73,1807.64,379.09
245556155,Mount Isa (AUS) 14th Jul,R6 900m CL1,14-07-2025 06:45,85813990,3. Polly Hoffa,0,50.00000000,28.1376,23.7058,55.00,34.00,1.00,1001.00,1157.73,951.19,206.54
245525926,Pakenham (AUS) 14th Jul,R9 1100m Hcap,14-07-2025 08:00,68124650,6. Harpalee,1,5.50000000,5.0132,4.1975,6.80,5.50,1.00,1001.00,11462.21,8910.82,2551.39
245584626,Hamilton (AUS) 14th Jul,R1 2160m Trot M,14-07-2025 04:07,85815269,1. Itgetsbetter,0,96.14447516,67.2702,20.2838,1.00,1001.00,1.00,1001.00,93.46,10.46,63.49
245584603,Menangle (AUS) 14th Jul,R8 1609m Pace M,14-07-2025 08:25,7152193,9. Black Onyx,0,3.13059660,3.5944,3.2283,4.00,3.25,1.00,1001.00,5987.74,4788.63,521.62
245584582,Menangle (AUS) 14th Jul,R1 2300m Trot M,14-07-2025 04:15,66089043,9. Military Merit,0,8.40000000,12.3751,8.6405,12.00,11.00,1.00,1001.00,983.79,614.70,154.78
245586726,Pinjarra (AUS) 14th Jul,R8 2185m Pace M,14-07-2025 09:16,45192903,9. Getn Wiggy Withit,0,11.50000000,11.1773,10.0461,11.00,11.00,1.00,1001.00,1403.46,1175.51,127.38
245586726,Pinjarra (AUS) 14th Jul,R8 2185m Pace M,14-07-2025 09:16,50016701,4. Mister Ridgewell,0,11.66807557,16.6820,6.8542,18.50,12.00,1.00,1001.00,1832.55,570.12,516.06
245555175,Scone (AUS) 14th Jul,R7 1200m CL1,14-07-2025 07:05,83155113,7. Backward Glance,0,9.02701962,7.2806,6.9652,9.60,8.00,200.00,200.00,4006.35,3430.41,575.94
245525926,Pakenham (AUS) 14th Jul,R9 1100m Hcap,14-07-2025 08:00,85854871,3. Kinetic Jewel,0,2.08000000,1.8020,1.7397,2.63,1.88,1.00,1001.00,51981.70,46148.20,5833.50
245584634,Hamilton (AUS) 14th Jul,R5 2160m Pace M,14-07-2025 06:33,41997526,3. Ranger Rick,1,2.14651295,2.3227,1.9691,2.50,2.14,3.00,2.00,8575.41,4542.47,2852.20
245584600,Menangle (AUS) 14th Jul,R7 1609m Pace M,14-07-2025 07:55,38828831,7. Twilight Heaven,1,7.41979908,5.5066,3.3070,1.00,1001.00,1.00,1001.00,1701.58,719.50,982.08
245584594,Menangle (AUS) 14th Jul,R5 1609m Pace M,14-07-2025 06:40,71687152,3. Sapphiresndiamonds,0,6.60000000,5.1054,4.3745,5.90,5.90,1.00,1001.00,1142.66,754.42,388.24
245586718,Pinjarra (AUS) 14th Jul,R4 2185m Pace M,14-07-2025 06:55,72618305,11. The Bettor Side,0,2.74280801,2.4235,2.1497,2.60,2.30,1.00,1001.00,4924.11,3496.86,618.58
245525918,Pakenham (AUS) 14th Jul,R8 1400m Hcap,14-07-2025 07:30,6007159,9. Heinous,0,14.74352377,9.4300,8.4978,16.28,12.21,1.00,1001.00,2901.67,2515.07,386.60
245584626,Hamilton (AUS) 14th Jul,R1 2160m Trot M,14-07-2025 04:07,85815271,4. Keayang Minnesota,0,2.32903057,2.8852,2.7463,3.20,2.62,1000.00,700.00,4673.74,2411.44,729.50
245584603,Menangle (AUS) 14th Jul,R8 1609m Pace M,14-07-2025 08:25,13214703,7. Joe Nien,0,9.48201739,8.0314,6.5605,9.00,7.00,1.00,1001.00,896.23,545.29,136.94
245584594,Menangle (AUS) 14th Jul,R5 1609m Pace M,14-07-2025 06:40,85543986,7. Slyx,0,21.00000000,19.8335,17.9918,28.00,22.00,1.00,1001.00,531.38,456.67,74.71
245584594,Menangle (AUS) 14th Jul,R5 1609m Pace M,14-07-2025 06:40,41288262,8. Explosive Bronski,1,18.00000000,11.6411,3.6747,18.00,14.50,1.11,1.11,1872.00,391.64,1480.36
245556130,Mount Isa (AUS) 14th Jul,R1 1200m Mdn,14-07-2025 03:40,82375963,8. Kouklitsa,0,6.40000000,5.7374,4.7700,7.60,5.10,100.00,100.00,3065.52,2166.18,402.64
245584654,Redcliffe (AUS) 14th Jul,R8 1780m Pace M,14-07-2025 12:33,68983081,6. Icanandiwill,0,160.00000000,172.1561,1.0000,220.00,120.00,1.00,1001.00,0.00,41.63,23.75
245525910,Pakenham (AUS) 14th Jul,R7 2200m Hcap,14-07-2025 07:00,50141208,3. Saveadateforme,0,3.24785291,2.1996,2.0307,3.30,2.74,3.20,2.70,25768.69,18710.12,7058.57
245525894,Pakenham (AUS) 14th Jul,R5 1600m Hcap,14-07-2025 06:00,71587468,2. Big Kate,0,23.07741645,29.7374,17.2786,55.00,20.00,1.00,1001.00,2072.64,1012.77,274.71
245584626,Hamilton (AUS) 14th Jul,R1 2160m Trot M,14-07-2025 04:07,61522724,7. Happy Escape,0,28.00000000,30.5532,19.5770,36.00,29.00,1.00,1001.00,342.21,195.37,61.70
245586668,Globe Derby (AUS) 14th Jul,R9 1800m Pace M,14-07-2025 08:58,46863077,5. Lina And Molly,0,417.35995505,130.7552,119.6664,300.00,110.00,1.00,1001.00,71.63,63.75,7.88
245586664,Globe Derby (AUS) 14th Jul,R7 1800m Pace M,14-07-2025 08:03,70930477,6. Jack Bronski,0,40.00000000,33.8831,26.9481,34.00,34.00,1.00,1001.00,162.70,103.45,36.61
245555155,Scone (AUS) 14th Jul,R3 1400m Mdn,14-07-2025 04:35,57563498,6. Epic Statement,0,3.09812694,3.0019,2.6209,3.73,2.58,3.20,2.50,8769.57,5893.60,1653.50
